person,school_type,ps_sum
"[""person391""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person392""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person393""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person394""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person395""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person396""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person397"", ""person397""]","Union{Missing, String}[""type 1"", ""type 2""]","[0.612, 0.388]"
"[""person398""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person399""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person400""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person401"", ""person401""]","Union{Missing, String}[""type 1"", ""type 2""]","[0.664, 0.33599999999999997]"
"[""person402""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person403""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person404""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person405""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person406""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person407"", ""person407""]","Union{Missing, String}[""type 1"", ""type 2""]","[0.998, 0.002]"
"[""person408""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person409""]","Union{Missing, String}[""type 2""]",[1.0]
